sexo,edad,nacionalidad,ccaa,tipo_hogar,regimen_vivienda,nivel_educativo,unidades_consumo,renta_hogar,ingresos_anuales,riesgo_pobreza,situacion_economica_infancia,pesos
Mujer,55,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,18836.2,2251.7,0,Moderadamente buena,601.90417
Mujer,56,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,5654.1,0,1,Moderadamente buena,2807.61278
Hombre,59,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,5654.1,0,1,Moderadamente buena,2807.61278
Hombre,58,Espana,ES52,Otros hogares,En propiedad,200,3.5,32008.7,11875.7,0,Buena,2527.59237
Mujer,51,Espana,ES52,Otros hogares,En propiedad,100,3.5,32008.7,0,0,Buena,2527.59237
Hombre,86,Espana,ES52,Otros hogares,En propiedad,000,3.5,32008.7,0,0,NA,2527.59237
Hombre,18,Espana,ES52,Otros hogares,En propiedad,200,3.5,32008.7,0,0,NA,2527.59237
Hombre,15,NA,ES52,Otros hogares,En propiedad,NA,3.5,32008.7,NA,0,NA,2527.59237
Mujer,86,Espana,ES52,Otros hogares,En propiedad,000,3.5,32008.7,0,0,NA,2527.59237
Hombre,42,Extranjero (resto mundo),ES52,Biparental con niños/as,En propiedad,200,2.5,29159.1,12280.1,0,Moderadamente buena,2785.89811
Mujer,42,Extranjero (resto mundo),ES52,Biparental con niños/as,En propiedad,300,2.5,29159.1,15504.8,0,Moderadamente buena,2785.89811
Hombre,16,NA,ES52,Biparental con niños/as,En propiedad,NA,2.5,29159.1,NA,0,NA,2785.89811
Hombre,15,NA,ES52,Biparental con niños/as,En propiedad,NA,2.5,29159.1,NA,0,NA,2785.89811
Mujer,84,Espana,ES52,Otros hogares,En propiedad,100,2,15816.5,0,1,NA,3397.13429
Hombre,86,Espana,ES52,Otros hogares,En propiedad,100,2,15816.5,0,1,NA,3397.13429
Hombre,50,Espana,ES52,Otros hogares,En propiedad,100,2,15816.5,0,1,Buena,3397.13429
Mujer,56,Espana,ES52,Biparental con niños/as,En propiedad,500,2,94166.8,45018.1,0,Muy buena,1135.45949
Hombre,57,Espana,ES52,Biparental con niños/as,En propiedad,500,2,94166.8,50535.2,0,Moderadamente buena,1135.45949
Mujer,18,Espana,ES52,Biparental con niños/as,En propiedad,200,2,94166.8,0,0,NA,1135.45949
Hombre,21,Espana,ES52,Unipersonal,En alquiler,344,1,0,0,1,NA,1362.37605
Hombre,67,Espana,ES52,Biparental con niños/as,En propiedad,300,2,36027.4,0,0,NA,2451.23779
Mujer,55,Espana,ES52,Biparental con niños/as,En propiedad,500,2,36027.4,5156.7,0,Buena,2451.23779
