id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
4,Chico,3 tr,4,1.40642,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,692.4302448
4,Chico,3 tr,6,0.59028,NA,No repite,Hasta terminar un Ciclo Formativo de grado superior,617.1137702
4,Chico,2 tr,3,0.97559,Bachillerato,No repite,Hasta terminar una carrera universitaria,566.6564858
4,Chico,3 tr,4,-0.02207,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado medio,405.5582798
4,Chica,2 tr,4,-0.77528,Sin estudios obligatorios,No repite,Hasta terminar una carrera universitaria,616.5556324
4,Chico,1 tr,4,1.81735,Universitarios medios,No repite,Hasta terminar una carrera universitaria,485.7602122
4,Chica,3 tr,4,-0.11676,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar un Ciclo Formativo de grado superior,533.8809716
4,Chico,1 tr,3,-0.37957,Sin estudios obligatorios,No repite,Hasta terminar una carrera universitaria,508.8022658
4,Chico,4 tr,6,1.53845,NA,No repite,Hasta terminar Bachillerato,554.8106364
4,Chica,3 tr,5,-0.37264,Sin estudios obligatorios,No repite,Hasta terminar un Ciclo Formativo de grado superior,516.5984662
4,Chica,1 tr,5,1.12506,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,607.711516
5,Chico,1 tr,4,0.11598,Universitarios medios,No repite,Hasta terminar una carrera universitaria,461.1373416
5,Chica,4 tr,4,0.38193,Bachillerato,No repite,Hasta terminar un Ciclo Formativo de grado medio,457.9405668
5,Chico,1 tr,4,0.56466,Sin estudios obligatorios,Repite,Hasta terminar un Ciclo Formativo de grado superior,742.1832372
5,Chica,1 tr,6,-0.03158,NA,No repite,Hasta terminar una carrera universitaria,450.3155914
5,Chico,4 tr,6,0.38193,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar un Ciclo Formativo de grado superior,373.254587
5,Chica,3 tr,5,0.03136,Bachillerato,No repite,Hasta terminar una carrera universitaria,538.0261532
5,Chica,2 tr,4,-0.69418,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar los estudios obligatorios (ESO),489.8803056
5,Chica,4 tr,6,-0.37264,"Estudios obligatorios (ESO,EGB)",No repite,No lo he pensado todavia,487.2452742
5,Chica,4 tr,6,0.86918,Universitarios medios,No repite,NA,486.53285239999997
5,Chico,1 tr,5,0.11768,NA,No repite,NA,609.722879
5,Chica,1 tr,6,-0.78357,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar los estudios obligatorios (ESO),535.5601536
5,Chica,2 tr,6,1.81735,NA,No repite,Hasta terminar una carrera universitaria,535.7612112
5,Chica,4 tr,5,0.46825,NA,No repite,Hasta terminar un Ciclo Formativo de grado medio,461.5230864
5,Chica,3 tr,4,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,778.7062980000001
5,Chica,3 tr,4,-0.47037,Sin estudios obligatorios,Repite,Hasta terminar un Ciclo Formativo de grado medio,438.4182502
5,Chica,4 tr,5,0.22689,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,499.9023292
5,Chica,2 tr,5,0.97559,Sin estudios obligatorios,No repite,Hasta terminar una carrera universitaria,616.745311
5,Chica,2 tr,4,0.62502,Bachillerato,No repite,Hasta terminar una carrera universitaria,673.2510944
5,Chico,1 tr,4,1.46284,Universitarios medios,No repite,Hasta terminar una carrera universitaria,539.421341
5,NA,NA,NA,0.52805,NA,NA,NA,560.3622494
5,Chica,1 tr,5,-0.37264,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,713.0042382
