DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2019,ES,150,ES52,1,94,2,5265.02386,1,3,1
2019,ES,151,ES52,1,94,2,2997.53689,1,3,1
2019,ES,152,ES61,1,100,2,1845.32732,1,1,1
2019,ES,153,ES61,1,100,2,2882.39833,1,1,1
2019,ES,154,ES61,1,100,2,3248.20723,1,1,1
2019,ES,155,ES61,1,100,2,251.99785,1,1,1
2019,ES,157,ES61,1,100,2,13699.04778,1,1,1
2019,ES,158,ES61,1,100,2,3179.21303,1,1,1
2019,ES,159,ES61,1,104,2,2943.06122,1,3,1
2019,ES,160,ES61,1,104,2,1333.40404,1,3,1
2019,ES,161,ES61,1,104,2,2180.05354,1,3,1
2019,ES,162,ES61,1,104,2,2252.20472,1,3,1
2019,ES,163,ES61,1,104,2,1439.69731,1,3,1
2019,ES,164,ES61,1,106,2,2740.56086,1,3,1
2019,ES,165,ES61,1,106,2,3836.51653,1,3,1
2019,ES,166,ES61,1,106,2,1109.37553,1,3,1
2019,ES,167,ES61,1,106,2,1507.28604,1,3,1
2019,ES,168,ES61,1,106,2,2169.33975,1,3,1
2019,ES,169,ES61,1,106,2,1483.96835,1,3,1
2019,ES,170,ES61,1,106,2,1349.41841,1,3,1
2019,ES,171,ES61,1,106,2,2357.77497,1,3,1
2019,ES,172,ES61,1,110,2,6232.97647,1,3,1
2019,ES,173,ES61,1,110,2,1321.19685,1,3,1
2019,ES,174,ES61,1,110,2,640.17704,1,3,1
2019,ES,175,ES61,1,110,2,1897.91649,1,3,1
2019,ES,178,ES61,1,110,2,4027.58999,1,3,1
2019,ES,179,ES61,1,113,2,4742.11198,1,3,1
2019,ES,180,ES61,1,113,2,5052.87765,1,3,1
2019,ES,181,ES61,1,113,2,6936.07677,1,3,1
2019,ES,182,ES61,1,113,2,8773.89026,1,3,1
2019,ES,183,ES41,1,116,2,1448.57633,1,2,1
2019,ES,184,ES41,1,116,2,1317.60837,1,2,1
2019,ES,186,ES41,1,116,2,1257.72897,1,2,1
2019,ES,187,ES41,1,116,2,2682.61956,1,2,1
2019,ES,188,ES41,1,116,2,1289.47714,1,2,1
2019,ES,189,ES41,1,116,2,1257.72897,1,2,1
2019,ES,190,ES41,1,116,2,2383.20865,1,2,1
2019,ES,192,ES41,1,119,2,1793.24830,1,3,1
2019,ES,193,ES41,1,119,2,1953.03318,1,3,1
2019,ES,194,ES41,1,119,2,1838.93274,1,3,1
2019,ES,195,ES41,1,119,2,2669.09878,1,3,1
2019,ES,196,ES41,1,119,2,1238.42064,1,3,1
2019,ES,197,ES41,1,120,2,948.07241,1,3,1
2019,ES,198,ES41,1,120,2,1024.95258,1,3,1
2019,ES,199,ES41,1,120,2,2342.59933,1,3,1
2019,ES,200,ES41,1,120,2,2047.43110,1,3,1
2019,ES,201,ES41,1,120,2,2362.16881,1,3,1
2019,ES,203,ES41,1,120,2,189.13818,1,3,1
2019,ES,204,ES41,1,120,2,2326.60898,1,3,1
2019,ES,205,ES43,1,123,2,175.23934,1,3,1
2019,ES,206,ES43,1,123,2,1248.04026,1,3,1
2019,ES,207,ES43,1,123,2,855.39619,1,3,1
2019,ES,208,ES43,1,123,2,1310.42149,1,3,1
2019,ES,209,ES43,1,123,2,1654.11677,1,3,1
2019,ES,210,ES43,1,123,2,558.25028,1,3,1
2019,ES,211,ES43,1,123,2,692.24101,1,3,1
2019,ES,212,ES43,1,125,2,687.87073,1,3,1
2019,ES,213,ES43,1,125,2,766.33338,1,3,1
2019,ES,214,ES43,1,125,2,1147.66332,1,3,1
2019,ES,217,ES43,1,125,2,903.43852,1,3,1
2019,ES,218,ES43,1,125,2,354.27201,1,3,1
2019,ES,219,ES43,1,125,2,856.39882,1,3,1
2019,ES,221,ES43,1,125,2,1531.76935,1,3,1
2019,ES,222,ES43,1,125,2,1701.14162,1,3,1
2019,ES,223,ES43,1,125,2,570.36206,1,3,1
2019,ES,224,ES43,1,125,2,704.31122,1,3,1
2019,ES,225,ES43,1,129,2,1154.92413,1,1,1
2019,ES,226,ES43,1,129,2,1235.73225,1,1,1
2019,ES,227,ES43,1,129,2,1090.70564,1,1,1
2019,ES,229,ES43,1,129,2,135.42686,1,1,1
2019,ES,230,ES43,1,135,2,511.12410,1,1,1
2019,ES,231,ES43,1,137,2,383.06848,1,3,1
2019,ES,232,ES43,1,137,2,1482.63671,1,3,1
2019,ES,233,ES43,1,137,2,318.18668,1,3,1
2019,ES,234,ES43,1,137,2,895.06619,1,3,1
2019,ES,235,ES43,1,137,2,856.39882,1,3,1
2019,ES,236,ES43,1,137,2,542.28445,1,3,1
2019,ES,237,ES43,1,137,2,856.39882,1,3,1
2019,ES,238,ES43,1,140,2,651.21501,1,3,1
2019,ES,239,ES43,1,140,2,595.52968,1,3,1
2019,ES,240,ES43,1,140,2,829.29316,1,3,1
2019,ES,241,ES43,1,140,2,1672.50350,1,3,1
2019,ES,242,ES43,1,140,2,2103.59507,1,3,1
2019,ES,243,ES43,1,140,2,856.94355,1,3,1
2019,ES,244,ES43,1,140,2,429.15736,1,3,1
2019,ES,245,ES43,1,146,2,898.41339,1,3,1
2019,ES,246,ES43,1,146,2,566.30091,1,3,1
2019,ES,247,ES43,1,146,2,652.72050,1,3,1
2019,ES,248,ES43,1,146,2,638.21999,1,3,1
2019,ES,249,ES43,1,146,2,600.69062,1,3,1
2019,ES,250,ES43,1,146,2,306.25533,1,3,1
2019,ES,251,ES43,1,146,2,1591.45052,1,3,1
2019,ES,252,ES43,1,146,2,569.05671,1,3,1
2019,ES,253,ES43,1,146,2,627.45583,1,3,1
2019,ES,256,ES43,1,146,2,838.84658,1,3,1
2019,ES,257,ES43,1,152,2,870.02710,1,3,1
2019,ES,258,ES43,1,152,2,1964.73865,1,3,1
2019,ES,259,ES43,1,152,2,1026.87882,1,3,1
2019,ES,260,ES43,1,152,2,742.12138,1,3,1
2019,ES,261,ES43,1,152,2,834.58900,1,3,1
2019,ES,262,ES43,1,159,2,903.43852,1,3,1
2019,ES,263,ES43,1,159,2,2389.18129,1,3,1
2019,ES,264,ES43,1,159,2,817.20296,1,3,1
2019,ES,265,ES43,1,159,2,712.59731,1,3,1
2019,ES,266,ES43,1,159,2,758.27637,1,3,1
2019,ES,267,ES43,1,159,2,507.52590,1,3,1
2019,ES,268,ES43,1,159,2,318.18668,1,3,1
2019,ES,269,ES43,1,159,2,599.07460,1,3,1
2019,ES,270,ES43,1,159,2,1612.62341,1,3,1
2019,ES,271,ES43,1,159,2,316.29847,1,3,1
2019,ES,272,ES43,1,167,2,1643.30104,1,3,1
2019,ES,273,ES43,1,167,2,415.77707,1,3,1
2019,ES,274,ES43,1,167,2,489.79098,1,3,1
2019,ES,275,ES43,1,167,2,416.42577,1,3,1
2019,ES,276,ES43,1,167,2,378.67780,1,3,1
